longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,10.852102,-3.0130186,265.53842,267.67892,101133.38,5423.375,-81640.44,97930.49,127040.375,38144.5,-731685.75,0.99749744,5.53E-05
42,-91,3.5448482,0.8087072,259.21588,260.76608,102050.05,373547.88,-144904.38,98739.49,-146089.19,958568.1,-734377.25,1,1.03E-06
42,-91,-2.6417594,2.0237916,262.1517,264.1988,101397.266,6585.625,-73396.69,98158.98,30529.438,38006.75,-564522.1,1,0
42,-91,0.11641425,2.6708562,273.03668,274.9612,99952.32,406032.75,-221308.69,96898.39,55912.188,1071211.2,-811359.75,0.7123739,0
42,-91,6.635492,-4.97811,266.73657,269.56955,100482.04,7692.375,-101908.84,97336.18,61992.75,51846,-856320.9,0.88027406,0
42,-91,4.2842617,-1.6646606,253.8106,255.7732,102227.32,566796.6,-305254.28,98849.84,-194450.75,1071899.8,-752751.56,1,5.18E-07
42,-91,2.909165,-2.7051115,256.05463,258.23407,102071.47,7471,-149119.22,98735.9,64891.562,43377.25,-584466.5,1,0
42,-91,-2.8731587,-0.30619264,262.17175,264.14722,102177.68,569397.6,-298415.5,98889.42,-113565.31,1116929.4,-809392.94,0.026063204,0
42,-91,-4.1826487,-1.3668638,264.71448,267.9062,101727.91,17487.625,-256060.47,98530.195,158715.75,67062.5,-798040.5,0.56927043,0
42,-91,-4.1791024,-1.2234803,267.97842,269.0718,101250.17,138738.5,-42549.844,98063.02,-15923.125,815767.5,-741295.6,0.99047804,0.000370117
42,-91,-1.3163111,-3.2106304,268.97238,270.03384,101415.03,6917.625,-48148.97,98235.14,25226.625,60659.25,-745884.94,1,0.000321526
42,-91,2.0571542,-2.558051,263.51276,266.21494,103277.88,444715.75,-323807.84,99976.09,-40174.562,1041811.1,-773851.94,0.9749439,0
42,-91,2.1582253,-0.16464722,259.98203,262.88818,103491.86,13503.125,-205585.69,100198.586,60578.625,70367.5,-764604.4,0.016602337,0
42,-91,-1.4962884,0.26366544,259.52753,261.28058,103748.555,420089.25,-185379.25,100425.27,-100060.875,1045735.6,-693229,1,5.18E-07
42,-91,-3.691479,0.08719337,264.63065,267.8016,103201.72,9850.625,-54140.656,99936.516,66164.25,60659.25,-567006.6,1,1.65E-05
42,-91,-2.7534695,5.8638997,272.2918,273.05246,100603.92,139790,-23293.812,97483.11,-21367.312,874980.9,-796470.5,1,0.000289993
42,-91,8.078856,4.5339246,270.8965,273.06918,100827.57,8079.75,-54574.53,97707.4,66942,72157.75,-825093.1,0.80661654,2.58E-05
42,-91,5.2887654,-0.7813808,263.70636,267.87552,102634.64,473603.38,-287341.2,99375.78,-61456.5,1073552.2,-800317.9,0.3872095,0
42,-91,1.8736308,-1.4771589,262.04074,265.70602,102680.1,17266.25,-175978.5,99422.56,33993.938,75669.25,-651770.2,0.89715105,0
42,-91,-3.9388368,-1.4183348,265.78632,269.2377,103116.68,506752.38,-284944.53,99869.945,-36003.062,1145709.9,-808961.6,0.022919744,0
42,-91,-6.165058,0.5237781,268.27707,272.6509,102635.03,14388.625,-111474.875,99449.55,131989.75,85652.75,-803544.2,0.9732349,0
42,-91,-4.6472206,1.1607324,273.1075,273.8235,101060.88,93138,6396.0312,97943.69,40428,872846.4,-713708.2,1,5.84E-05
42,-91,-6.6225376,-1.7657646,274.03064,274.37424,99922.41,6973,12036.469,96837.22,57255.562,84000.25,-722179.4,1,0.002253781
42,-91,13.139498,-4.680313,262.6959,264.84436,101676.56,597012.5,-99512.19,98409.66,-224075.69,1206782.2,-788844.7,0.9844353,6.20E-06
42,-91,9.986793,-3.3705587,259.41656,262.26633,102418.83,35473.25,-255048.08,99110.12,181058.25,110095.5,-776733.1,1,1.03E-06
42,-91,0.85050863,-1.5286301,254.68176,258.08908,103670.96,386940.25,-22446.688,100266.35,-251438.12,1068801.4,-732565.6,0.8325882,4.65E-06
42,-91,-0.9022748,-1.5488509,257.76395,261.14114,103406.03,22357.625,-84161.06,100046.86,8257.6875,91161,-568335.06,1,6.20E-06
42,-91,-5.106473,-1.323665,259.41068,262.58145,103400.55,262977.75,-401.4375,100064.85,-128696,1008761.75,-782478.4,1,3.05E-05
42,-91,-5.407026,-1.6278957,263.5529,265.72275,102921.91,11178.875,11499.3125,99627.06,14479.625,100111.75,-792398.8,1,8.79E-05
42,-91,3.817917,-4.646305,261.76334,263.65363,102699.43,630936.25,-209986.47,99394.98,-243448.62,1323625.5,-775473.7,0.9732349,0
42,-91,3.8746588,-2.8788261,257.44638,260.30878,102815.17,42003.375,-248973.75,99483.13,100738.5,136603.75,-759652.75,0.89638805,0
42,-91,0.8850855,-1.0038091,259.57947,262.50613,102840.78,462701.38,-72735.53,99509.516,-215732.62,1283966.2,-659344.25,0.99047804,6.05E-05
42,-91,0.06233239,-1.5120858,259.54407,263.31064,102461.16,42556.875,-190689.12,99185.68,8469.8125,145692.5,-782547.4,0.85357,0
42,-91,-2.5593069,1.2728658,265.10284,269.6532,102271.21,601882.5,-180999.1,99051.945,-136685.56,1318943.5,-615694.4,0.9483924,0
42,-91,-0.5325678,-1.3567535,267.07538,270.9917,102097.336,30603.25,-108644.34,98912.21,23459.062,122902.25,-670662.1,0.8173897,5.69E-06
42,-91,1.8062501,-3.424787,265.04382,267.25366,102989.31,565579.1,-123045.03,99727.21,-190067.06,1279215.4,-621939.9,1,0
42,-91,1.552686,-2.2979383,265.20673,268.05258,102806.81,32318.875,-88541.19,99564.695,48417.562,129305.5,-679495.6,1,3.62E-06
42,-91,5.0263357,-4.0286527,254.11632,257.26645,103139.67,692142.75,-221969.84,99733.81,-369513.88,1355642,-708704.9,0.98617494,1.55E-06
42,-91,5.6238956,-2.6793756,249.89383,253.78635,103041.83,59878.375,-287465.2,99600.67,97627.56,161528.5,-714381.06,0,0
42,-91,6.078715,0.31605566,252.56284,255.1862,102936.92,785944.75,-287630.44,99513.72,-380685.06,1348481.2,-730098.5,1,5.69E-06
42,-91,5.764863,1.2866526,255.17284,258.13788,102486.625,45932.625,-156846.4,99135.305,65952.125,157672.75,-722904,0.84716094,1.09E-05
42,-91,6.887283,-2.1269813,258.62802,261.28198,102742.93,811346,-310068.28,99400.375,-328717.62,1366176.5,-760998.5,1,2.59E-06
